Q96DA2	concentration:696.03	copy_number:838321
Q9NRY4	concentration:11.66	copy_number:14048
Q99638	concentration:3.41	copy_number:4113
Q96HR9	concentration:11.21	copy_number:13507
Q9H1J1	concentration:1.38	copy_number:1663
Q96E11	concentration:46.24	copy_number:55692
Q5JNZ5	concentration:3592.18	copy_number:4326520
Q5VWQ0	concentration:1.94	copy_number:2336
Q9P2J5	concentration:469.40	copy_number:565355
P82914	concentration:167.14	copy_number:201302
Q9Y676	concentration:365.64	copy_number:440385
P50443	concentration:1.10	copy_number:1329
P82909	concentration:109.97	copy_number:132454
Q9BQC6	concentration:33.64	copy_number:40515
Q8IVJ1	concentration:1.81	copy_number:2182
Q15404	concentration:68.81	copy_number:82879
Q7L099	concentration:0.35	copy_number:426
Q5FBB7	concentration:16.04	copy_number:19314
O00141	concentration:17.17	copy_number:20674
Q9P0U3	concentration:21.53	copy_number:25936
Q8WTV0	concentration:37.68	copy_number:45382
P54920	concentration:717.07	copy_number:863656
Q8IX90	concentration:22.78	copy_number:27433
O43760	concentration:6.61	copy_number:7960
Q15506	concentration:3.35	copy_number:4039
P30626	concentration:406.91	copy_number:490099
Q9NRY2	concentration:30.25	copy_number:36430
P61009	concentration:334.30	copy_number:402645
P00441	concentration:1151.09	copy_number:1386401
P53597	concentration:134.89	copy_number:162465
Q16514	concentration:2.07	copy_number:2493
Q8NI27	concentration:119.62	copy_number:144076
O15164	concentration:19.92	copy_number:23996
Q9Y5Q9	concentration:20.41	copy_number:24580
Q96IP4	concentration:5.71	copy_number:6875
P53611	concentration:142.44	copy_number:171560
P84098	concentration:612.19	copy_number:737341
P42766	concentration:697.75	copy_number:840391
Q9NYK5	concentration:180.26	copy_number:217115
Q9Y3B9	concentration:41.72	copy_number:50249
O94941	concentration:0.72	copy_number:873
Q9NQG5	concentration:451.94	copy_number:544329
Q5VZM2	concentration:79.20	copy_number:95388
P62277	concentration:3620.13	copy_number:4360189
Q9BSK2	concentration:2.62	copy_number:3157
Q9Y2H2	concentration:7.26	copy_number:8746
Q8N1F8	concentration:1.06	copy_number:1280
Q92503	concentration:5.54	copy_number:6669
O15061	concentration:4.28	copy_number:5153
P82932	concentration:23.80	copy_number:28669
Q96BY9	concentration:26.94	copy_number:32442
Q9Y512	concentration:113.74	copy_number:136997
Q92622	concentration:7.54	copy_number:9086
P07602	concentration:375.86	copy_number:452701
Q01105	concentration:8384.54	copy_number:10098573
Q9UGP8	concentration:168.38	copy_number:202797
Q96HU1	concentration:0.89	copy_number:1070
Q9NP31	concentration:3.94	copy_number:4747
Q9Y2G9	concentration:24.80	copy_number:29864
O75971	concentration:0.90	copy_number:1090
O95391	concentration:44.38	copy_number:53456
Q8IY92	concentration:0.17	copy_number:200
Q96HG1	concentration:0.46	copy_number:560
Q86XE0	concentration:337.37	copy_number:406341
O75934	concentration:244.68	copy_number:294699
Q96N96	concentration:0.86	copy_number:1038
Q9Y6A9	concentration:2733.29	copy_number:3292051
P49842	concentration:0.78	copy_number:942
Q7RTN6	concentration:10.00	copy_number:12042
