Sample description: prot1
Sample: prot1 c= 4.5 Code: Apr1
Subtracted from raw files: "C:\Data\rishi-4and9mgpml\prot4p5mgpmlrep1_0001.img" "C:\Data\rishi-4and9mgpml\bufferrep1_0002.img"
Processed by SAXSLab Sat Apr 02 09:53:54 2022
BeamCenter_X: 754.149 BeamCenter_Y: 199.623
Exposure time (sec): 3600
Pin diode (mean): 6.6504e-08
==============================================
0.384802 0.188579 0.0132971
0.385614 0.188181 0.0131606
0.386425 0.202435 0.0133675
0.387237 0.192379 0.0134133
0.388048 0.191641 0.0135263
0.38886 0.199192 0.0136481
0.389671 0.208124 0.0134931
0.390483 0.180895 0.0134601
0.391294 0.174364 0.0136978
0.392106 0.187796 0.0136621
0.392917 0.197216 0.0137556
0.393729 0.179425 0.0138274
0.39454 0.18397 0.012788
0.395351 0.196874 0.0137016
0.396163 0.182485 0.0134611
0.396974 0.218303 0.0139047
0.397786 0.178757 0.0134559
0.398597 0.19485 0.0133039
0.399409 0.185392 0.0135663
0.40022 0.171844 0.0134205
0.401032 0.158456 0.0137054
0.401843 0.193538 0.0137108
0.402655 0.196536 0.0140396
0.403466 0.196909 0.0139364
0.404278 0.187252 0.0133368
0.405089 0.198503 0.0135171
0.405901 0.181594 0.0136473
0.406712 0.197537 0.0138156
0.407524 0.196889 0.0135808
0.408335 0.170666 0.0135823
0.409147 0.155538 0.013585
0.409958 0.174331 0.0136621
0.41077 0.178935 0.0138783
0.411581 0.203028 0.013873
0.412393 0.174193 0.0133623
0.413204 0.174979 0.0136641
0.414016 0.167711 0.014138
0.414827 0.16318 0.0137501
0.415639 0.160625 0.0137408
0.41645 0.173674 0.0135864
0.417261 0.177121 0.0136444
0.418073 0.152813 0.0139928
0.418884 0.188938 0.0142129
0.419696 0.171559 0.0140091
0.420507 0.172784 0.0137591
0.421319 0.159515 0.0138879
0.42213 0.173315 0.0138594
0.422942 0.169941 0.0137925
0.423753 0.180685 0.0138714
0.424565 0.173848 0.013607
0.425376 0.158862 0.0141774
0.426188 0.179502 0.0138479
0.426999 0.190053 0.0139949
0.427811 0.166084 0.0137432
0.428622 0.147866 0.0138181
0.429434 0.159082 0.013657
0.430245 0.146784 0.0135246
0.431057 0.15804 0.0136158
0.431868 0.175652 0.0140686
0.43268 0.17614 0.0139356
0.433491 0.167742 0.0139124
0.434303 0.134342 0.014049
0.435114 0.176219 0.0134596
0.435926 0.153331 0.0135431
0.436737 0.163966 0.013768
0.437549 0.171353 0.0136319
0.43836 0.141842 0.0138434
0.439171 0.162118 0.0135548
0.439983 0.17279 0.0137593
0.440794 0.168067 0.0142239
0.441606 0.159389 0.0134714
0.442417 0.122271 0.0136696
