all,non_tail,N,C,N_w_pdb,C_w_pdb
23.0,30.0,32.0,65.0,,
52.0,54.0,31.0,122.0,,
38.0,27.0,49.0,211.0,,
40.0,21.0,22.0,143.0,,
80.0,34.0,26.0,39.0,,
42.0,35.0,44.0,55.0,,
30.0,41.0,28.0,419.0,,
103.0,51.0,26.0,30.0,,
24.0,21.0,478.0,57.0,,
45.0,30.0,103.0,38.0,,
101.0,28.0,427.0,37.0,,
33.0,22.0,170.0,22.0,,
51.0,27.0,280.0,69.0,,
67.0,43.0,73.0,38.0,,
20.0,30.0,24.0,52.0,,
314.0,35.0,43.0,22.0,,
20.0,61.0,24.0,40.0,,
133.0,27.0,49.0,20.0,,
37.0,25.0,117.0,57.0,,
83.0,35.0,48.0,67.0,,
724.0,32.0,65.0,156.0,,
183.0,60.0,139.0,48.0,,
39.0,48.0,26.0,57.0,,
51.0,169.0,26.0,38.0,,
407.0,20.0,27.0,23.0,,
26.0,37.0,23.0,22.0,,
76.0,78.0,39.0,109.0,,
212.0,121.0,264.0,82.0,,
56.0,20.0,71.0,98.0,,
24.0,123.0,21.0,20.0,,
39.0,66.0,21.0,55.0,,
67.0,50.0,39.0,94.0,,
22.0,24.0,83.0,20.0,,
25.0,20.0,122.0,82.0,,
44.0,41.0,40.0,35.0,,
104.0,56.0,50.0,61.0,,
26.0,28.0,23.0,21.0,,
36.0,30.0,115.0,27.0,,
130.0,82.0,30.0,77.0,,
159.0,60.0,69.0,114.0,,
23.0,23.0,61.0,39.0,,
39.0,318.0,33.0,29.0,,
31.0,21.0,21.0,120.0,,
315.0,83.0,25.0,31.0,,
155.0,25.0,236.0,67.0,,
53.0,38.0,24.0,30.0,,
117.0,24.0,259.0,25.0,,
42.0,47.0,209.0,25.0,,
1116.0,92.0,102.0,284.0,,
60.0,62.0,97.0,88.0,,
48.0,26.0,33.0,65.0,,
36.0,138.0,166.0,117.0,,
77.0,58.0,49.0,25.0,,
21.0,38.0,23.0,212.0,,
