Sample description: chromixs
Sample: chromixs  c= 0 mg/ml  Code: chromixs
 1.691647e-001  6.546227e-004  7.964875e-005
 1.696204e-001  6.293587e-004  7.816391e-005
 1.700761e-001  8.785297e-004  7.962439e-005
 1.705318e-001  6.141064e-004  7.825711e-005
 1.709875e-001  6.944572e-004  7.858991e-005
 1.714432e-001  7.842375e-004  7.909420e-005
 1.718989e-001  6.158956e-004  7.805913e-005
 1.723546e-001  6.445478e-004  7.967969e-005
 1.728103e-001  6.708126e-004  7.772025e-005
 1.732659e-001  6.625379e-004  7.881787e-005
 1.737216e-001  7.449889e-004  7.822553e-005
 1.741773e-001  6.715629e-004  7.815660e-005
 1.746330e-001  5.075811e-004  7.876025e-005
 1.750887e-001  6.753718e-004  7.755350e-005
 1.755443e-001  6.489674e-004  7.857559e-005
 1.760000e-001  6.290547e-004  7.774538e-005
 1.764557e-001  5.501953e-004  7.769694e-005
 1.769114e-001  6.197398e-004  7.835175e-005
 1.773670e-001  6.869889e-004  7.743420e-005
 1.778227e-001  7.970167e-004  7.842468e-005
 1.782783e-001  5.660363e-004  7.746208e-005
 1.787340e-001  6.372899e-004  7.767569e-005
 1.791897e-001  6.132041e-004  7.776379e-005
 1.796453e-001  7.411288e-004  7.754823e-005
 1.801010e-001  5.638620e-004  7.805403e-005
 1.805566e-001  6.965362e-004  7.693224e-005
 1.810123e-001  6.763260e-004  7.768130e-005
 1.814679e-001  5.857610e-004  7.755365e-005
 1.819236e-001  6.527112e-004  7.730836e-005
 1.823792e-001  6.631266e-004  7.708122e-005
 1.828348e-001  6.007893e-004  7.698931e-005
 1.832905e-001  6.228386e-004  7.707562e-005
 1.837461e-001  5.997121e-004  7.716739e-005
 1.842017e-001  6.517672e-004  7.671648e-005
 1.846574e-001  5.898069e-004  7.704562e-005
 1.851130e-001  5.504597e-004  7.661534e-005
 1.855686e-001  5.217689e-004  7.700465e-005
 1.860243e-001  6.287878e-004  7.653260e-005
 1.864799e-001  5.144205e-004  7.680940e-005
 1.869355e-001  7.014058e-004  7.671072e-005
 1.873911e-001  7.050308e-004  7.700057e-005
 1.878467e-001  5.937225e-004  7.634457e-005
 1.883023e-001  7.019084e-004  7.598756e-005
 1.887579e-001  6.275113e-004  7.661403e-005
 1.892135e-001  5.499846e-004  7.617163e-005
 1.896691e-001  4.326534e-004  7.648624e-005
 1.901248e-001  6.087152e-004  7.578602e-005
 1.905804e-001  6.481190e-004  7.587651e-005
 1.910359e-001  5.227577e-004  7.638981e-005
 1.914915e-001  4.561054e-004  7.577335e-005
 1.919471e-001  5.435510e-004  7.567645e-005
 1.924027e-001  5.248656e-004  7.588310e-005
 1.928583e-001  5.860772e-004  7.585873e-005
 1.933139e-001  5.967295e-004  7.597835e-005
 1.937695e-001  5.402341e-004  7.515943e-005
 1.942251e-001  5.229028e-004  7.592744e-005
 1.946806e-001  5.173352e-004  7.541464e-005
 1.951362e-001  5.175445e-004  7.579919e-005
 1.955918e-001  6.014046e-004  7.586533e-005
 1.960474e-001  6.265980e-004  7.499102e-005
 1.965029e-001  5.189453e-004  7.580102e-005
 1.969585e-001  5.698461e-004  7.483291e-005
 1.974140e-001  5.454021e-004  7.544545e-005
 1.978696e-001  4.451757e-004  7.503063e-005
 1.983252e-001  3.479259e-004  7.513913e-005
 1.987807e-001  5.427033e-004  7.541605e-005
 1.992363e-001  5.063272e-004  7.462917e-005
 1.996918e-001  3.999170e-004  7.484479e-005
 2.001474e-001  4.627858e-004  7.477132e-005
 2.006029e-001  6.935681e-004  7.525485e-005
 2.010585e-001  4.656199e-004  7.530067e-005
 2.015140e-001  5.401014e-004  7.409368e-005
 2.019695e-001  5.142217e-004  7.450065e-005
 2.024251e-001  5.194077e-004  7.466396e-005
 2.028806e-001  5.163251e-004  7.469272e-005
 2.033361e-001  5.299776e-004  7.440482e-005
 2.037917e-001  3.860170e-004  7.430428e-005
 2.042472e-001  4.882040e-004  7.478167e-005
 2.047027e-001  4.574761e-004  7.390245e-005
 2.051582e-001  4.992718e-004  7.440772e-005
 2.056137e-001  4.646601e-004  7.385185e-005
 2.060693e-001  4.889459e-004  7.429111e-005
 2.065248e-001  5.321167e-004  7.466846e-005
 2.069803e-001  4.934275e-004  7.408944e-005
 2.074358e-001  5.410366e-004  7.381112e-005
 2.078913e-001  4.861259e-004  7.372711e-005
 2.083468e-001  5.244705e-004  7.404583e-005
 2.088023e-001  5.182274e-004  7.418860e-005
 2.092578e-001  3.835726e-004  7.358534e-005
 2.097133e-001  4.075278e-004  7.401126e-005
 2.101688e-001  5.634416e-004  7.319078e-005
 2.106243e-001  4.758063e-004  7.380878e-005
 2.110797e-001  6.014574e-004  7.358608e-005
 2.115352e-001  4.225923e-004  7.319482e-005
 2.119907e-001  4.385031e-004  7.368260e-005
 2.124462e-001  5.027941e-004  7.377240e-005
 2.129017e-001  5.326378e-004  7.362623e-005
 2.133571e-001  3.650583e-004  7.270498e-005
 2.138126e-001  4.890512e-004  7.353886e-005
 2.142681e-001  4.808605e-004  7.366114e-005
 2.147235e-001  4.395668e-004  7.315156e-005
 2.151790e-001  5.089847e-004  7.322858e-005
 2.156344e-001  5.813677e-004  7.258463e-005
 2.160899e-001  4.223775e-004  7.471680e-005
 2.165454e-001  5.027759e-004  7.594548e-005
 2.170008e-001  3.228287e-004  7.605083e-005
 2.174562e-001  3.493971e-004  7.755002e-005
 2.179117e-001  5.707193e-004  7.751981e-005
 2.183671e-001  5.435130e-004  7.879096e-005
 2.188226e-001  4.264010e-004  7.840426e-005
 2.192780e-001  4.084491e-004  7.873230e-005
 2.197334e-001  4.082506e-004  8.003384e-005
 2.201889e-001  4.427152e-004  7.955973e-005
 2.206443e-001  4.040816e-004  8.096209e-005
 2.210997e-001  3.599657e-004  7.999880e-005
 2.215552e-001  5.406830e-004  8.097408e-005
 2.220106e-001  4.350135e-004  8.166504e-005
 2.224660e-001  2.863072e-004  8.131620e-005
 2.229214e-001  5.206742e-004  8.220082e-005
 2.233768e-001  6.019125e-004  8.234598e-005
 2.238322e-001  4.290042e-004  8.286348e-005
 2.242876e-001  2.962138e-004  8.287281e-005
 2.247430e-001  4.723718e-004  8.024106e-005
 2.251984e-001  3.744708e-004  8.024965e-005
 2.256538e-001  4.794347e-004  7.883699e-005
 2.261092e-001  4.318177e-004  7.905377e-005
 2.265646e-001  4.336756e-004  7.803727e-005
 2.270200e-001  4.843960e-004  7.754809e-005
 2.274754e-001  4.518047e-004  7.759255e-005
 2.279308e-001  3.565615e-004  7.696298e-005
 2.283862e-001  4.385589e-004  7.744691e-005
 2.288415e-001  3.785346e-004  7.616980e-005
 2.292969e-001  3.948160e-004  7.660767e-005
 2.297523e-001  4.126152e-004  7.611334e-005
 2.302076e-001  4.423227e-004  7.608100e-005
 2.306630e-001  4.388970e-004  7.607572e-005
 2.311184e-001  4.035723e-004  7.584420e-005
 2.315737e-001  4.703113e-004  7.569714e-005
 2.320291e-001  4.207097e-004  7.560943e-005
 2.324844e-001  3.625162e-004  7.509967e-005
 2.329398e-001  3.265584e-004  7.519996e-005
 2.333951e-001  5.021231e-004  7.482823e-005
 2.338505e-001  4.100411e-004  7.527514e-005
 2.343058e-001  3.846617e-004  7.414252e-005
 2.347612e-001  5.077660e-004  7.476060e-005
 2.352165e-001  3.540861e-004  7.438958e-005
 2.356718e-001  4.067392e-004  7.429608e-005
 2.361272e-001  3.817598e-004  7.438388e-005
 2.365825e-001  5.168372e-004  7.425762e-005
 2.370378e-001  4.815197e-004  7.439830e-005
