Sample description: Archit_2
Sample: Archit_2  c= 3.27 mg/ml  Code: Archit_2_3p27_archit
Parent(s): analysis/processed/subtracted/Archit_2_3p27_archit_0353_sub.dat
 1.001550e+000  5.140957e+002  1.864631e+001
 1.004300e+000  4.860606e+002  1.832279e+001
 1.007050e+000  4.903269e+002  1.863918e+001
 1.009800e+000  4.900333e+002  1.858637e+001
 1.012550e+000  4.950474e+002  1.831517e+001
 1.015300e+000  4.936820e+002  1.838217e+001
 1.018050e+000  4.813517e+002  1.814571e+001
 1.020800e+000  4.384645e+002  1.837776e+001
 1.023550e+000  4.890049e+002  1.829314e+001
 1.026300e+000  4.642101e+002  1.813337e+001
 1.029050e+000  4.638621e+002  1.821219e+001
 1.031800e+000  4.734037e+002  1.815281e+001
 1.034550e+000  4.762498e+002  1.822676e+001
 1.037300e+000  4.561043e+002  1.797580e+001
 1.040050e+000  4.435899e+002  1.804616e+001
 1.042800e+000  4.447159e+002  1.798795e+001
 1.045550e+000  4.522031e+002  1.795972e+001
 1.048300e+000  4.410563e+002  1.788588e+001
 1.051050e+000  4.470908e+002  1.784280e+001
 1.053800e+000  4.326040e+002  1.796387e+001
 1.056550e+000  4.412865e+002  1.781954e+001
 1.059300e+000  4.655612e+002  1.780824e+001
 1.062050e+000  4.721165e+002  1.768980e+001
 1.064800e+000  4.725618e+002  1.781262e+001
 1.067550e+000  4.412361e+002  1.808066e+001
 1.070300e+000  4.467355e+002  1.813219e+001
 1.073050e+000  4.161792e+002  1.834339e+001
 1.075800e+000  4.347930e+002  1.837049e+001
 1.078550e+000  4.060771e+002  1.839617e+001
 1.081300e+000  4.160037e+002  1.860754e+001
 1.084050e+000  4.351765e+002  1.840033e+001
 1.086800e+000  4.218095e+002  1.876115e+001
 1.089550e+000  4.577489e+002  1.883154e+001
 1.092300e+000  4.248333e+002  1.883674e+001
 1.095050e+000  4.321291e+002  1.892822e+001
 1.097800e+000  4.372459e+002  1.885444e+001
 1.100550e+000  3.931443e+002  1.913015e+001
 1.103300e+000  4.414159e+002  1.920619e+001
 1.106050e+000  4.481982e+002  1.921278e+001
 1.108800e+000  4.386615e+002  1.910125e+001
 1.111550e+000  3.997505e+002  1.913281e+001
 1.114290e+000  3.630584e+002  1.927296e+001
 1.117040e+000  4.244385e+002  1.915004e+001
 1.119790e+000  4.212428e+002  1.947346e+001
 1.122540e+000  4.146416e+002  1.920591e+001
 1.125290e+000  3.936841e+002  1.868417e+001
 1.128040e+000  4.083275e+002  1.871457e+001
 1.130790e+000  3.909590e+002  1.841903e+001
 1.133540e+000  3.844887e+002  1.852510e+001
 1.136290e+000  4.036070e+002  1.824154e+001
 1.139040e+000  3.971303e+002  1.820299e+001
 1.141790e+000  3.924676e+002  1.801528e+001
 1.144540e+000  3.816339e+002  1.784800e+001
 1.147290e+000  3.672495e+002  1.800255e+001
 1.150040e+000  3.651425e+002  1.778335e+001
 1.152790e+000  3.837609e+002  1.774123e+001
 1.155540e+000  4.002028e+002  1.760425e+001
 1.158290e+000  3.789859e+002  1.765991e+001
 1.161040e+000  3.780606e+002  1.778002e+001
 1.163790e+000  3.669171e+002  1.744066e+001
 1.166540e+000  3.643086e+002  1.749850e+001
 1.169290e+000  3.882566e+002  1.745387e+001
 1.172040e+000  4.046716e+002  1.745278e+001
 1.174790e+000  3.730138e+002  1.745019e+001
 1.177540e+000  3.602110e+002  1.718415e+001
 1.180290e+000  3.808920e+002  1.734578e+001
 1.183040e+000  3.740193e+002  1.717174e+001
 1.185790e+000  3.670771e+002  1.728768e+001
 1.188540e+000  3.570725e+002  1.716064e+001
 1.191290e+000  3.325789e+002  1.704515e+001
 1.194040e+000  3.665881e+002  1.725799e+001
 1.196790e+000  3.668639e+002  1.699009e+001
 1.199540e+000  3.654884e+002  1.712984e+001
 1.202290e+000  3.640144e+002  1.705231e+001
 1.205040e+000  3.458596e+002  1.698962e+001
 1.207790e+000  3.367251e+002  1.707671e+001
 1.210540e+000  3.304587e+002  1.686189e+001
 1.213290e+000  3.347416e+002  1.701539e+001
 1.216040e+000  3.509248e+002  1.676647e+001
 1.218790e+000  3.619141e+002  1.690588e+001
 1.221540e+000  3.398771e+002  1.684683e+001
 1.224290e+000  3.099156e+002  1.664186e+001
 1.227040e+000  3.560492e+002  1.687012e+001
 1.229780e+000  3.248220e+002  1.668455e+001
 1.232530e+000  3.446807e+002  1.676278e+001
 1.235280e+000  3.256933e+002  1.673649e+001
 1.238030e+000  3.135138e+002  1.659538e+001
 1.240780e+000  3.117003e+002  1.660773e+001
 1.243530e+000  3.184786e+002  1.648650e+001
 1.246280e+000  3.417107e+002  1.666271e+001
 1.249030e+000  3.449364e+002  1.651021e+001
 1.251780e+000  3.082199e+002  1.654092e+001
 1.254530e+000  3.464028e+002  1.655835e+001
 1.257280e+000  3.040872e+002  1.636043e+001
 1.260030e+000  3.220495e+002  1.653106e+001
 1.262780e+000  3.348413e+002  1.640312e+001
 1.265530e+000  3.407199e+002  1.644663e+001
 1.268280e+000  3.231080e+002  1.635827e+001
 1.271030e+000  3.460040e+002  1.620595e+001
 1.273780e+000  3.402703e+002  1.643701e+001
 1.276530e+000  3.088743e+002  1.623404e+001
 1.279280e+000  3.277991e+002  1.628301e+001
 1.282030e+000  3.083138e+002  1.621974e+001
 1.284780e+000  2.952080e+002  1.612887e+001
 1.287530e+000  3.145486e+002  1.624854e+001
 1.290280e+000  3.528358e+002  1.616287e+001
 1.293030e+000  3.267511e+002  1.612282e+001
 1.295780e+000  3.054725e+002  1.602914e+001
 1.298530e+000  2.992758e+002  1.617226e+001
 1.301280e+000  3.219911e+002  1.613959e+001
 1.304030e+000  3.050349e+002  1.594278e+001
 1.306780e+000  3.178645e+002  1.609391e+001
 1.309530e+000  3.036101e+002  1.590250e+001
 1.312280e+000  2.738312e+002  1.597970e+001
 1.315030e+000  3.309740e+002  1.596985e+001
 1.317780e+000  3.233428e+002  1.590667e+001
 1.320530e+000  3.005015e+002  1.588747e+001
 1.323280e+000  2.960774e+002  1.582883e+001
 1.326030e+000  3.032774e+002  1.588257e+001
 1.328780e+000  3.404401e+002  1.581787e+001
 1.331530e+000  3.248700e+002  1.585630e+001
 1.334280e+000  2.642936e+002  1.575866e+001
 1.337030e+000  3.160651e+002  1.577879e+001
 1.339780e+000  2.934251e+002  1.572793e+001
 1.342530e+000  3.029431e+002  1.563926e+001
 1.345270e+000  2.865618e+002  1.570325e+001
 1.348020e+000  2.965367e+002  1.567797e+001
 1.350770e+000  2.652584e+002  1.561072e+001
 1.353520e+000  3.047385e+002  1.557297e+001
 1.356270e+000  2.860205e+002  1.557976e+001
 1.359020e+000  2.790865e+002  1.563711e+001
 1.361770e+000  3.314116e+002  1.554535e+001
 1.364520e+000  2.978058e+002  1.560891e+001
 1.367270e+000  2.984220e+002  1.551437e+001
 1.370020e+000  2.610379e+002  1.551066e+001
 1.372770e+000  2.797358e+002  1.551705e+001
 1.375520e+000  3.075352e+002  1.540555e+001
 1.378270e+000  3.017651e+002  1.543010e+001
 1.381020e+000  2.998670e+002  1.539138e+001
 1.383770e+000  2.808309e+002  1.535299e+001
 1.386520e+000  3.100801e+002  1.546967e+001
 1.389270e+000  2.553208e+002  1.521720e+001
 1.392020e+000  2.860590e+002  1.543026e+001
 1.394770e+000  2.398917e+002  1.534142e+001
 1.397520e+000  2.645339e+002  1.527369e+001
 1.400270e+000  2.705257e+002  1.530738e+001
 1.403020e+000  2.881052e+002  1.517772e+001
 1.405770e+000  3.018511e+002  1.536872e+001
 1.408520e+000  2.942468e+002  1.520295e+001
 1.411270e+000  2.810486e+002  1.520321e+001
 1.414020e+000  2.483309e+002  1.517391e+001
 1.416770e+000  2.945257e+002  1.527568e+001
 1.419520e+000  2.525575e+002  1.525118e+001
 1.422270e+000  2.859107e+002  1.503249e+001
 1.425020e+000  2.662456e+002  1.513505e+001
 1.427770e+000  2.758636e+002  1.518323e+001
 1.430520e+000  2.614021e+002  1.507176e+001
 1.433270e+000  2.684884e+002  1.513752e+001
 1.436020e+000  2.879232e+002  1.496787e+001
 1.438770e+000  2.731706e+002  1.504364e+001
 1.441520e+000  2.672578e+002  1.500244e+001
 1.444270e+000  2.671976e+002  1.495857e+001
 1.447020e+000  2.752266e+002  1.499952e+001
 1.449770e+000  2.594957e+002  1.491970e+001
 1.452520e+000  2.743933e+002  1.510220e+001
 1.455270e+000  2.363651e+002  1.484479e+001
 1.458010e+000  2.832211e+002  1.491538e+001
 1.460760e+000  2.276391e+002  1.494074e+001
 1.463510e+000  2.647101e+002  1.484902e+001
