energies,CoA_conc,valency,system,unbound,bound1AD,bound2_sameAD,bound2_sameAb,bound2_diffAb,other,rep,AM_int,AN_int,BM_int,BN_int
AM-110_AN-1_BM-110_BN-110,500,Nb,doubleTAD_doubleCoA,0.9918954248366013,0.007359477124183007,0.0007450980392156863,0.0,0.0,0.0,2.0,-110.0,-1.0,-110.0,-110.0
AM-110_AN-1_BM-110_BN-110,1000,Nb,doubleTAD_doubleCoA,0.9926209150326796,0.0066535947712418305,0.0007254901960784315,0.0,0.0,0.0,2.0,-110.0,-1.0,-110.0,-110.0
AM-110_AN-1_BM-110_BN-110,2000,Nb,doubleTAD_doubleCoA,0.9923333333333333,0.00692156862745098,0.0007450980392156864,0.0,0.0,0.0,2.0,-110.0,-1.0,-110.0,-110.0
AM-110_AN-1_BM-110_BN-160,20,Nb,doubleTAD_doubleCoA,0.9738562091503269,0.023529411764705882,0.00261437908496732,0.0,0.0,0.0,2.0,-110.0,-1.0,-110.0,-160.0
AM-110_AN-1_BM-110_BN-160,160,Nb,doubleTAD_doubleCoA,0.9727124183006536,0.021732026143790845,0.005555555555555554,0.0,0.0,0.0,2.0,-110.0,-1.0,-110.0,-160.0
AM-110_AN-1_BM-110_BN-160,500,Nb,doubleTAD_doubleCoA,0.9744313725490196,0.02073202614379085,0.004836601307189543,0.0,0.0,0.0,2.0,-110.0,-1.0,-110.0,-160.0
AM-110_AN-1_BM-110_BN-160,1000,Nb,doubleTAD_doubleCoA,0.976392156862745,0.019437908496732024,0.004163398692810458,0.0,6.535947712418301e-06,0.0,2.0,-110.0,-1.0,-110.0,-160.0
AM-110_AN-1_BM-110_BN-160,2000,Nb,doubleTAD_doubleCoA,0.9799803921568625,0.016673202614379084,0.00334640522875817,0.0,0.0,0.0,2.0,-110.0,-1.0,-110.0,-160.0
AM-110_AN-1_BM-110_BN-210,20,Nb,doubleTAD_doubleCoA,0.8408496732026144,0.12516339869281046,0.03398692810457516,0.0,0.0,0.0,2.0,-110.0,-1.0,-110.0,-210.0
AM-110_AN-1_BM-110_BN-210,160,Nb,doubleTAD_doubleCoA,0.8686683006535948,0.10433006535947713,0.027001633986928102,0.0,0.0,0.0,2.0,-110.0,-1.0,-110.0,-210.0
AM-110_AN-1_BM-110_BN-210,500,Nb,doubleTAD_doubleCoA,0.9104575163398692,0.06973856209150327,0.019790849673202614,0.0,1.3071895424836602e-05,0.0,2.0,-110.0,-1.0,-110.0,-210.0
AM-110_AN-1_BM-110_BN-210,1000,Nb,doubleTAD_doubleCoA,0.9364052287581699,0.05058823529411765,0.013006535947712417,0.0,0.0,0.0,2.0,-110.0,-1.0,-110.0,-210.0
AM-110_AN-1_BM-110_BN-210,2000,Nb,doubleTAD_doubleCoA,0.9599183006535948,0.03215686274509804,0.00792483660130719,0.0,0.0,0.0,2.0,-110.0,-1.0,-110.0,-210.0
AM-110_AN-1_BM-1_BN-1,20,Nb,doubleTAD_doubleCoA,0.9980392156862745,0.00196078431372549,0.0,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-1.0
AM-110_AN-1_BM-1_BN-1,160,Nb,doubleTAD_doubleCoA,0.9972630718954248,0.0027369281045751636,0.0,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-1.0
AM-110_AN-1_BM-1_BN-1,500,Nb,doubleTAD_doubleCoA,0.9975947712418302,0.0023790849673202617,2.6143790849673204e-05,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-1.0
AM-110_AN-1_BM-1_BN-1,1000,Nb,doubleTAD_doubleCoA,0.9975751633986928,0.0023725490196078434,5.228758169934641e-05,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-1.0
AM-110_AN-1_BM-1_BN-1,2000,Nb,doubleTAD_doubleCoA,0.9978169934640522,0.002143790849673203,3.9215686274509805e-05,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-1.0
AM-110_AN-1_BM-1_BN-110,20,Nb,doubleTAD_doubleCoA,0.996078431372549,0.00261437908496732,0.00130718954248366,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-110.0
AM-110_AN-1_BM-1_BN-110,160,Nb,doubleTAD_doubleCoA,0.9952614379084966,0.004166666666666667,0.0005718954248366013,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-110.0
AM-110_AN-1_BM-1_BN-110,500,Nb,doubleTAD_doubleCoA,0.9943137254901963,0.004915032679738563,0.0007712418300653595,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-110.0
AM-110_AN-1_BM-1_BN-110,1000,Nb,doubleTAD_doubleCoA,0.9941503267973856,0.005104575163398693,0.0007450980392156863,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-110.0
AM-110_AN-1_BM-1_BN-110,2000,Nb,doubleTAD_doubleCoA,0.9945718954248366,0.004738562091503268,0.0006895424836601307,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-110.0
AM-110_AN-1_BM-1_BN-160,20,Nb,doubleTAD_doubleCoA,0.9643790849673204,0.02810457516339869,0.007516339869281046,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-160.0
AM-110_AN-1_BM-1_BN-160,160,Nb,doubleTAD_doubleCoA,0.9740604575163397,0.020833333333333332,0.0051062091503267975,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-160.0
AM-110_AN-1_BM-1_BN-160,500,Nb,doubleTAD_doubleCoA,0.9764444444444443,0.018941176470588236,0.0046143790849673206,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-160.0
AM-110_AN-1_BM-1_BN-160,1000,Nb,doubleTAD_doubleCoA,0.9781176470588235,0.017542483660130722,0.004333333333333334,0.0,6.535947712418301e-06,0.0,2.0,-110.0,-1.0,-1.0,-160.0
AM-110_AN-1_BM-1_BN-160,2000,Nb,doubleTAD_doubleCoA,0.9819150326797385,0.014542483660130718,0.0035424836601307195,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-160.0
AM-110_AN-1_BM-1_BN-210,20,Nb,doubleTAD_doubleCoA,0.8428104575163399,0.12254901960784315,0.034640522875816995,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-210.0
AM-110_AN-1_BM-1_BN-210,160,Nb,doubleTAD_doubleCoA,0.8713643790849673,0.10044934640522875,0.028186274509803922,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-210.0
AM-110_AN-1_BM-1_BN-210,500,Nb,doubleTAD_doubleCoA,0.9067843137254904,0.0717124183006536,0.02150326797385621,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-210.0
AM-110_AN-1_BM-1_BN-210,1000,Nb,doubleTAD_doubleCoA,0.9359281045751633,0.049725490196078435,0.01434640522875817,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-210.0
AM-110_AN-1_BM-1_BN-210,2000,Nb,doubleTAD_doubleCoA,0.9612581699346405,0.030666666666666665,0.008075163398692811,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-210.0
AM-110_AN-210_BM-110_BN-1,20,Nb,doubleTAD_doubleCoA,0.8408496732026144,0.1238562091503268,0.03529411764705882,0.0,0.0,0.0,2.0,-110.0,-210.0,-110.0,-1.0
AM-110_AN-210_BM-110_BN-1,160,Nb,doubleTAD_doubleCoA,0.8684640522875817,0.10302287581699347,0.028513071895424832,0.0,0.0,0.0,2.0,-110.0,-210.0,-110.0,-1.0
AM-110_AN-210_BM-110_BN-1,500,Nb,doubleTAD_doubleCoA,0.9058169934640524,0.07409150326797385,0.02009150326797386,0.0,0.0,0.0,2.0,-110.0,-210.0,-110.0,-1.0
AM-110_AN-210_BM-110_BN-1,1000,Nb,doubleTAD_doubleCoA,0.9372091503267974,0.04996078431372549,0.012830065359477125,0.0,0.0,0.0,2.0,-110.0,-210.0,-110.0,-1.0
