P53185	copy_number:4.86E+02
P53165	copy_number:4.86E+02
P53327	copy_number:4.86E+02
Q07799	copy_number:4.86E+02
Q12208	copy_number:4.86E+02
Q04779	copy_number:4.86E+02
P48524	copy_number:4.86E+02
Q03557	copy_number:4.86E+02
P33122	copy_number:4.86E+02
Q12036	copy_number:4.86E+02
P22148	copy_number:4.91E+02
P38085	copy_number:5.04E+02
P25374	copy_number:5.04E+02
P25360	copy_number:5.04E+02
Q03786	copy_number:5.04E+02
Q06668	copy_number:5.04E+02
P53035	copy_number:5.04E+02
P32451	copy_number:5.04E+02
P38854	copy_number:5.04E+02
P40512	copy_number:5.04E+02
P40456	copy_number:5.04E+02
P40567	copy_number:5.04E+02
P47128	copy_number:5.04E+02
P32330	copy_number:5.04E+02
Q06177	copy_number:5.04E+02
P32493	copy_number:5.04E+02
P53939	copy_number:5.04E+02
Q02100	copy_number:5.04E+02
P48564	copy_number:5.04E+02
Q08909	copy_number:5.04E+02
Q02933	copy_number:5.04E+02
P41896	copy_number:5.20E+02
P38198	copy_number:5.21E+02
P00815	copy_number:5.21E+02
P39678	copy_number:5.21E+02
Q12163	copy_number:5.21E+02
Q04121	copy_number:5.21E+02
P40524	copy_number:5.21E+02
P36054	copy_number:5.21E+02
Q04958	copy_number:5.21E+02
P49955	copy_number:5.21E+02
P38921	copy_number:5.21E+02
P14242	copy_number:5.21E+02
P53552	copy_number:5.21E+02
Q01532	copy_number:5.21E+02
P13902	copy_number:5.21E+02
P12689	copy_number:5.21E+02
Q12200	copy_number:5.21E+02
Q03081	copy_number:5.21E+02
P41817	copy_number:5.21E+02
Q06098	copy_number:5.21E+02
P30283	copy_number:5.21E+02
P18412	copy_number:5.30E+02
Q02825	copy_number:5.31E+02
P27637	copy_number:5.38E+02
P25389	copy_number:5.38E+02
P53379	copy_number:5.38E+02
P40023	copy_number:5.38E+02
P53012	copy_number:5.38E+02
P32579	copy_number:5.38E+02
P53248	copy_number:5.38E+02
P53320	copy_number:5.38E+02
P09938	copy_number:5.38E+02
P47087	copy_number:5.38E+02
P47114	copy_number:5.38E+02
P36077	copy_number:5.38E+02
P34250	copy_number:5.38E+02
Q12020	copy_number:5.38E+02
Q12019	copy_number:5.38E+02
P21192	copy_number:5.38E+02
Q06697	copy_number:5.38E+02
Q06671	copy_number:5.38E+02
Q03177	copy_number:5.38E+02
P08468	copy_number:5.38E+02
P38590	copy_number:5.38E+02
Q08561	copy_number:5.38E+02
Q03071	copy_number:5.38E+02
O14464	copy_number:5.38E+02
P32842	copy_number:5.38E+02
Q12214	copy_number:5.38E+02
P47027	copy_number:5.40E+02
P38169	copy_number:5.56E+02
P14066	copy_number:5.56E+02
Q12334	copy_number:5.56E+02
Q03125	copy_number:5.56E+02
Q03897	copy_number:5.56E+02
Q03375	copy_number:5.56E+02
P40356	copy_number:5.56E+02
P53319	copy_number:5.56E+02
P47032	copy_number:5.56E+02
Q12530	copy_number:5.56E+02
Q12338	copy_number:5.56E+02
Q06411	copy_number:5.56E+02
P40210	copy_number:5.56E+02
P50275	copy_number:5.56E+02
P41696	copy_number:5.56E+02
Q12330	copy_number:5.56E+02
Q03002	copy_number:5.56E+02
P32896	copy_number:5.72E+02
P38114	copy_number:5.73E+02
P43570	copy_number:5.73E+02
P17649	copy_number:5.73E+02
P0CX35	copy_number:5.73E+02
Q12267	copy_number:5.73E+02
Q05926	copy_number:5.73E+02
P38987	copy_number:5.73E+02
Q03818	copy_number:5.73E+02
P40988	copy_number:5.73E+02
P42834	copy_number:5.73E+02
Q02891	copy_number:5.73E+02
P40986	copy_number:5.83E+02
P25656	copy_number:5.89E+02
P16664	copy_number:5.89E+02
P39108	copy_number:5.89E+02
Q06333	copy_number:5.89E+02
P06782	copy_number:5.89E+02
Q04399	copy_number:5.89E+02
P18494	copy_number:5.89E+02
P25302	copy_number:5.89E+02
P48235	copy_number:5.89E+02
P38713	copy_number:5.89E+02
P40491	copy_number:5.89E+02
P40576	copy_number:5.89E+02
P35169	copy_number:5.89E+02
P34078	copy_number:5.89E+02
P36130	copy_number:5.89E+02
P09201	copy_number:5.89E+02
Q06208	copy_number:5.89E+02
Q06199	copy_number:5.89E+02
P38428	copy_number:5.89E+02
P41318	copy_number:5.89E+02
P53971	copy_number:5.89E+02
Q99247	copy_number:5.89E+02
P38042	copy_number:5.93E+02
P39524	copy_number:6.06E+02
P15891	copy_number:6.06E+02
Q12066	copy_number:6.06E+02
Q12691	copy_number:6.06E+02
P38954	copy_number:6.06E+02
P38907	copy_number:6.06E+02
Q04377	copy_number:6.06E+02
P40499	copy_number:6.06E+02
P40453	copy_number:6.06E+02
P36081	copy_number:6.06E+02
Q12525	copy_number:6.06E+02
P24867	copy_number:6.06E+02
Q08162	copy_number:6.06E+02
P19659	copy_number:6.06E+02
Q08281	copy_number:6.06E+02
Q12380	copy_number:6.06E+02
P34224	copy_number:6.23E+02
P38278	copy_number:6.23E+02
P38321	copy_number:6.23E+02
Q07351	copy_number:6.23E+02
P15202	copy_number:6.23E+02
P32578	copy_number:6.23E+02
P24813	copy_number:6.23E+02
P10863	copy_number:6.23E+02
P40019	copy_number:6.23E+02
P50113	copy_number:6.23E+02
P53266	copy_number:6.23E+02
P53285	copy_number:6.23E+02
P38856	copy_number:6.23E+02
P40886	copy_number:6.23E+02
P36124	copy_number:6.23E+02
Q03674	copy_number:6.23E+02
P53942	copy_number:6.23E+02
P53876	copy_number:6.23E+02
P17260	copy_number:6.23E+02
Q08412	copy_number:6.23E+02
Q02792	copy_number:6.23E+02
P40851	copy_number:6.23E+02
P46957	copy_number:6.26E+02
P53038	copy_number:6.38E+02
P39723	copy_number:6.39E+02
Q12069	copy_number:6.39E+02
Q01896	copy_number:6.39E+02
P30619	copy_number:6.39E+02
Q12427	copy_number:6.39E+02
Q03954	copy_number:6.39E+02
Q06632	copy_number:6.39E+02
P43598	copy_number:6.39E+02
P47090	copy_number:6.39E+02
Q04511	copy_number:6.39E+02
P0CX13	copy_number:6.39E+02
P40208	copy_number:6.39E+02
Q03694	copy_number:6.39E+02
P10174	copy_number:6.39E+02
Q12324	copy_number:6.39E+02
Q08747	copy_number:6.39E+02
P39521	copy_number:6.39E+02
Q06504	copy_number:6.39E+02
P36146	copy_number:6.47E+02
P25577	copy_number:6.56E+02
P25644	copy_number:6.56E+02
Q05471	copy_number:6.56E+02
Q06336	copy_number:6.56E+02
Q06344	copy_number:6.56E+02
P43620	copy_number:6.56E+02
P40957	copy_number:6.56E+02
P53237	copy_number:6.56E+02
P38766	copy_number:6.56E+02
P38888	copy_number:6.56E+02
P39928	copy_number:6.56E+02
P34252	copy_number:6.56E+02
Q04235	copy_number:6.56E+02
Q04978	copy_number:6.56E+02
Q03212	copy_number:6.56E+02
P41813	copy_number:6.56E+02
P53904	copy_number:6.56E+02
P40155	copy_number:6.56E+02
O14468	copy_number:6.56E+02
Q02950	copy_number:6.56E+02
Q03016	copy_number:6.56E+02
P28743	copy_number:6.56E+02
P32526	copy_number:6.56E+02
P54867	copy_number:6.64E+02
P33313	copy_number:6.72E+02
P06784	copy_number:6.72E+02
Q04006	copy_number:6.72E+02
P04803	copy_number:6.72E+02
P40037	copy_number:6.72E+02
P53154	copy_number:6.72E+02
P12630	copy_number:6.72E+02
P47081	copy_number:6.72E+02
Q08001	copy_number:6.72E+02
Q05902	copy_number:6.72E+02
