# Sample description: red1
# Sample: red1  c= 6.0000 mg/ml  Code: red1_6_komal_buffer
# Parent(s): analysis/processed/averaged/red1_6_komal_buffer_0100_sample.dat analysis/processed/averaged/red1_6_komal_buffer_0100_buffer.dat
  1.162096e+00   4.562500e+03   1.124281e+02
  1.164904e+00   4.706480e+03   1.129307e+02
  1.167722e+00   4.719750e+03   1.128012e+02
  1.170539e+00   4.826950e+03   1.129947e+02
  1.173347e+00   4.528160e+03   1.127945e+02
  1.176165e+00   4.683390e+03   1.121334e+02
  1.178973e+00   4.546670e+03   1.120876e+02
  1.181791e+00   4.592170e+03   1.117388e+02
  1.184599e+00   4.972920e+03   1.119193e+02
  1.187417e+00   4.651510e+03   1.116650e+02
  1.190235e+00   4.764920e+03   1.114762e+02
  1.193042e+00   4.434660e+03   1.109263e+02
  1.195860e+00   4.413370e+03   1.106560e+02
  1.198668e+00   4.695820e+03   1.105454e+02
  1.201486e+00   4.593450e+03   1.106910e+02
  1.204294e+00   4.434940e+03   1.101022e+02
  1.207112e+00   4.765920e+03   1.106478e+02
  1.209930e+00   4.449180e+03   1.101403e+02
  1.212737e+00   4.367040e+03   1.089531e+02
  1.215555e+00   4.603890e+03   1.102282e+02
  1.218363e+00   4.487500e+03   1.093684e+02
  1.221181e+00   4.514890e+03   1.093915e+02
  1.223989e+00   4.399990e+03   1.092619e+02
  1.226807e+00   4.191160e+03   1.081521e+02
  1.229624e+00   4.322170e+03   1.088330e+02
  1.232432e+00   4.000020e+03   1.079350e+02
  1.235250e+00   4.349790e+03   1.073625e+02
  1.238058e+00   4.369650e+03   1.079021e+02
  1.240876e+00   4.244320e+03   1.075239e+02
  1.243684e+00   4.301780e+03   1.077464e+02
  1.246502e+00   4.128280e+03   1.065049e+02
  1.249319e+00   4.030670e+03   1.065466e+02
  1.252127e+00   4.467940e+03   1.071409e+02
  1.254945e+00   3.899980e+03   1.056052e+02
  1.257753e+00   4.341730e+03   1.069777e+02
  1.260571e+00   4.066760e+03   1.056498e+02
  1.263379e+00   4.319660e+03   1.065989e+02
  1.266197e+00   3.966780e+03   1.061343e+02
  1.269015e+00   4.125940e+03   1.053917e+02
  1.271822e+00   3.950000e+03   1.057819e+02
  1.274640e+00   4.256010e+03   1.056610e+02
  1.277448e+00   3.956930e+03   1.060441e+02
  1.280266e+00   3.976290e+03   1.058733e+02
  1.283074e+00   4.100450e+03   1.056117e+02
  1.285892e+00   3.937860e+03   1.047495e+02
  1.288699e+00   3.872810e+03   1.055295e+02
  1.291517e+00   3.762560e+03   1.053779e+02
  1.294335e+00   3.947240e+03   1.050612e+02
  1.297143e+00   4.160870e+03   1.052298e+02
  1.299961e+00   3.815200e+03   1.051517e+02
  1.302769e+00   3.833440e+03   1.043453e+02
  1.305587e+00   3.736750e+03   1.039899e+02
  1.308394e+00   3.895290e+03   1.047029e+02
  1.311212e+00   3.859350e+03   1.041737e+02
  1.314030e+00   3.959330e+03   1.048271e+02
  1.316838e+00   3.975780e+03   1.041576e+02
