energies,CoA_conc,valency,system,unbound,bound1CoA,bound2CoA,bound3CoA,bound4CoA,bound5+CoA,rep,AM_int,AN_int,BM_int,BN_int
AM-110_AN-1_BM-1_BN-160,2000,Nb,doubleTAD_doubleCoA,0.6462745098039216,0.34575163398692815,0.007973856209150327,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-160.0
AM-110_AN-1_BM-1_BN-210,20,Nb,doubleTAD_doubleCoA,0.9685620915032679,0.03143790849673203,0.0,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-210.0
AM-110_AN-1_BM-1_BN-210,160,Nb,doubleTAD_doubleCoA,0.7943790849673203,0.20542483660130717,0.000196078431372549,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-210.0
AM-110_AN-1_BM-1_BN-210,500,Nb,doubleTAD_doubleCoA,0.5367973856209151,0.46032679738562104,0.002875816993464052,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-210.0
AM-110_AN-1_BM-1_BN-210,1000,Nb,doubleTAD_doubleCoA,0.3669281045751634,0.6254248366013072,0.007647058823529412,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-210.0
AM-110_AN-1_BM-1_BN-210,2000,Nb,doubleTAD_doubleCoA,0.24405228758169936,0.7370588235294117,0.01888888888888889,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-210.0
AM-110_AN-210_BM-110_BN-1,20,Nb,doubleTAD_doubleCoA,0.9681699346405228,0.031830065359477126,0.0,0.0,0.0,0.0,2.0,-110.0,-210.0,-110.0,-1.0
AM-110_AN-210_BM-110_BN-1,160,Nb,doubleTAD_doubleCoA,0.7902614379084967,0.20901960784313722,0.000718954248366013,0.0,0.0,0.0,2.0,-110.0,-210.0,-110.0,-1.0
AM-110_AN-210_BM-110_BN-1,500,Nb,doubleTAD_doubleCoA,0.5341176470588236,0.4608496732026144,0.005032679738562092,0.0,0.0,0.0,2.0,-110.0,-210.0,-110.0,-1.0
AM-110_AN-210_BM-110_BN-1,1000,Nb,doubleTAD_doubleCoA,0.3862745098039216,0.5995424836601307,0.014183006535947713,0.0,0.0,0.0,2.0,-110.0,-210.0,-110.0,-1.0
AM-110_AN-210_BM-110_BN-1,2000,Nb,doubleTAD_doubleCoA,0.2322875816993464,0.7318300653594773,0.035816993464052295,6.5359477124183e-05,0.0,0.0,2.0,-110.0,-210.0,-110.0,-1.0
AM-110_AN-210_BM-110_BN-110,20,Nb,doubleTAD_doubleCoA,0.9673202614379083,0.03261437908496732,6.5359477124183e-05,0.0,0.0,0.0,2.0,-110.0,-210.0,-110.0,-110.0
AM-110_AN-210_BM-110_BN-110,160,Nb,doubleTAD_doubleCoA,0.7806535947712417,0.21830065359477124,0.001045751633986928,0.0,0.0,0.0,2.0,-110.0,-210.0,-110.0,-110.0
AM-110_AN-210_BM-110_BN-110,500,Nb,doubleTAD_doubleCoA,0.5321568627450981,0.4626143790849673,0.00522875816993464,0.0,0.0,0.0,2.0,-110.0,-210.0,-110.0,-110.0
