Q9USS0	copy_number:11979
Q9P3U7	copy_number:10868
O94675	copy_number:62373
O14215	copy_number:3820
P87167	copy_number:266592
P35669	copy_number:63373
P36587	copy_number:23388
P87178	copy_number:30111
Q09191	copy_number:13997
Q9UUD0	copy_number:2871
O74523	copy_number:320129
O14105	copy_number:154185
O43066	copy_number:1700
Q02592	copy_number:8356
O94563	copy_number:94980
Q9P780	copy_number:8045
Q9USX4	copy_number:20309
O74526	copy_number:683
O13724	copy_number:41389
O94331	copy_number:68729
O13742	copy_number:28767
O74519	copy_number:28866
Q10149	copy_number:8998
O14214	copy_number:18087
O59771	copy_number:25352
Q9USN3	copy_number:4189
Q10356	copy_number:200778
O42907	copy_number:2923
O94391	copy_number:100671
O59740	copy_number:464
C6Y4C7	copy_number:40447
Q9Y7U0	copy_number:9285
P87314	copy_number:3434
O13828	copy_number:8834
Q10333	copy_number:36083
P87242	copy_number:26565
O14243	copy_number:7286
P41891	copy_number:110039
P87171	copy_number:80293
O13686	copy_number:502
O94307	copy_number:38747
Q9HGL0	copy_number:42723
P28748	copy_number:521914
Q9P786	copy_number:70036
Q10077	copy_number:283
O36023	copy_number:24714
O42699	copy_number:23478
Q9HDV9	copy_number:25015
O60109	copy_number:43315
Q9P7B4	copy_number:97526
Q9HGM3	copy_number:26953
O13919	copy_number:3022
O74502	copy_number:932
P0CT65	copy_number:541620
Q9US35	copy_number:55366
O74338	copy_number:5111
Q9P6P6	copy_number:9899
O13791	copy_number:13113
O74448	copy_number:45880
P78854	copy_number:171343
Q10410	copy_number:48913
Q9UT76	copy_number:9249
Q9UT18	copy_number:9387
O14008	copy_number:91932
Q9P789	copy_number:8734
O13636	copy_number:22263
P87148	copy_number:19378
O74533	copy_number:86499
O14141	copy_number:20540
O94680	copy_number:3051
O14063	copy_number:4955
