Proteome Id	Organism Id
UP001224391	2364129
UP001228384	2605630
UP001228978	2591232
UP001230584	2489148
UP001230763	2613538
UP001231205	374006
UP001231237	1972564
UP001232198	2060140
UP001232653	485388
UP001234794	2590062
UP001236203	2562515
UP001237134	2781379
UP001237604	2592540
UP001239387	2704502
UP001240507	2601244
UP001241156	2583416
UP001241646	2501277
UP001242473	2664215
UP001243427	2501279
UP001243762	2562516
UP001243791	2200956
UP001243831	2060139
UP001244029	2751155
UP001244329	2714896
UP001246092	2831903
UP001247283	2940985
UP001247292	2877493
UP001247562	2905502
UP001250885	2877505
UP001251679	2877470
UP001252873	2983317
UP001253744	2905499
UP001255281	1314973
UP001255779	2987746
UP001256090	1188810
UP001256227	2905501
UP001259604	2963340
UP001260159	2990447
UP001260235	2905504
UP001260289	2829171
UP001261200	2905266
UP001261815	2877504
UP001263515	2877512
UP001264912	2983318
UP001265341	2905281
UP000000335	866889
UP000000337	767473
UP000000348	649603
UP000000349	649596
UP000000352	45237
UP000000367	110457
UP000000369	29252
UP000000402	649894
UP000000412	650489
UP000000414	35297
UP000000513	654911
UP000000514	654909
UP000000516	654922
UP000000572	652109
UP000000573	652110
UP000000574	652597
UP000000575	12055
UP000000618	532077
UP000000679	651358
UP000000681	649896
UP000000725	155148
UP000000744	2992639
UP000000832	649604
UP000000839	2905675
UP000000842	204270
UP000000853	2682836
UP000000854	244589
UP000000866	305674
UP000000867	31530
UP000000868	10272
UP000000869	10280
UP000000870	647330
UP000000871	300880
UP000000941	654901
UP000000978	83201
UP000001000	227720
UP000001046	154784
UP000001065	10651
UP000001101	686950
UP000001102	652675
UP000001103	652838
UP000001134	212035
UP000001165	197783
UP000001252	10854
UP000001295	766189
UP000001358	345201
UP000001530	344021
UP000001573	46014
UP000001594	10553
UP000001664	686947
UP000001665	652599
UP000001672	654934
UP000001673	647331
UP000001675	648168
UP000001676	648170
UP000001677	648172
UP000001713	1289570
UP000001764	185959
UP000001773	2907838
UP000001792	369257
UP000001795	10754
UP000001863	543939
UP000001864	526118
UP000002060	587200
UP000002092	10759
UP000002104	260827
UP000002107	2695836
UP000002121	2011081
UP000002123	31757
UP000002125	2003327
UP000002131	28369
UP000002132	1604876
UP000002135	10730
UP000002136	2905728
UP000002140	10843
UP000002150	315953
UP000002243	10653
UP000002244	38062
UP000002270	157898
UP000002348	254252
UP000002418	145579
UP000002559	10724
UP000002576	2681617
UP000002632	674082
UP000002909	1206558
UP000006636	766185
UP000006707	651354
UP000006712	648169
UP000006713	185783
UP000006714	654932
UP000006719	230407
UP000006720	10986
UP000006721	58103
UP000006824	650482
UP000006921	766191
UP000006930	36351
UP000007017	654908
UP000007021	654903
UP000007024	654912
UP000007071	882210
UP000007078	766184
UP000007079	766190
UP000007080	766187
UP000007083	82831
UP000007085	654933
UP000007432	648251
UP000007454	77856
UP000007550	487067
UP000007551	687366
UP000007553	687343
UP000007643	766178
UP000007763	175814
UP000007785	1985704
UP000008028	654928
UP000008072	10389
UP000008089	114430
UP000008091	2886926
UP000008154	652962
UP000008168	654919
UP000008184	482822
UP000008256	486275
UP000008257	687342
UP000008258	687345
UP000008259	486277
UP000008260	486279
UP000008261	687364
UP000008269	10249
UP000008287	85618
UP000008588	928297
UP000008596	928314
UP000008597	928301
UP000008622	10650
UP000008770	654924
UP000008778	766182
UP000008779	766183
UP000008780	766186
UP000008781	766188
UP000008786	654914
UP000008790	654917
UP000008853	1090133
UP000008891	1051673
UP000009060	2885846
UP000009068	55884
UP000009089	10747
UP000009091	2932878
UP000009092	2905681
UP000009093	10680
UP000009174	97195
UP000009196	1239382
UP000009246	57278
UP000009247	114102
UP000009248	262177
UP000009269	652963
UP000009401	634168
UP000010081	1235640
UP000011243	1283346
UP000011244	1283347
UP000011260	1289384
UP000011261	1289385
UP000011262	1289386
UP000011263	1289474
UP000011265	1289468
UP000011266	1289469
UP000011272	674953
UP000011276	658904
UP000011786	572290
UP000018354	186617
UP000019156	1455075
UP000019157	1455076
UP000019163	1410331
UP000026987	1498170
UP000029752	1554482
UP000029758	1554495
UP000029759	137556
UP000029763	717641
UP000029764	1560037
UP000029765	1557032
UP000029766	60714
UP000029767	1559359
UP000029769	1559360
UP000029773	1559363
UP000029774	1559364
UP000029775	1559365
UP000029776	1559366
UP000029782	591166
UP000029941	1559362
UP000033026	1610508
UP000052082	485362
UP000052104	1213588
UP000052105	3052702
UP000052110	1016879
UP000096080	889873
UP000096922	1775456
UP000097131	345250
UP000097580	1316453
UP000097718	1480065
UP000097722	1618256
UP000097858	1511639
UP000097872	1618254
UP000097892	1535247
UP000098205	764030
UP000098369	1428456
UP000099166	1803263
UP000099188	188763
UP000099533	40052
UP000099649	33708
UP000099870	698672
UP000099964	38432
UP000100290	2560801
UP000100497	2170139
UP000100660	1391025
UP000101020	936149
UP000101661	35314
UP000101765	1379715
UP000101850	1618258
UP000102041	33706
UP000102185	1481139
UP000102219	1420600
UP000102282	127569
UP000102399	67603
UP000102920	1676988
UP000103080	40061
UP000103274	40064
UP000103275	942036
UP000103398	2050587
UP000103471	1475062
UP000104459	35511
UP000104680	1802935
UP000105166	1608068
UP000105477	1379710
UP000105586	172859
UP000105606	241630
UP000105631	881945
UP000105727	1959744
UP000105857	1678227
UP000105858	1475063
UP000105926	1216472
UP000105986	1620507
UP000106032	742924
UP000106231	1788448
UP000106311	38143
UP000106396	1618242
UP000106424	1435008
UP000106432	687386
UP000106524	942034
UP000106577	1618251
UP000106725	759938
UP000106941	1105385
UP000107140	40054
UP000107153	203172
UP000107193	743300
UP000107383	1193422
UP000107417	1788455
UP000107449	1802938
UP000107696	1379709
UP000107872	1985402
UP000108423	742922
UP000108467	1379692
UP000108481	1788435
UP000108794	2050586
UP000109070	1027632
UP000109192	332179
UP000109362	1608060
UP000109557	1027468
UP000109622	666962
UP000109712	1676184
UP000109731	10385
UP000109780	2170200
UP000109876	1578134
UP000110027	2169918
UP000110521	878329
UP000110594	10325
UP000110876	1670973
UP000110943	1618236
UP000111010	1985398
UP000111166	2065053
UP000111222	206161
UP000111407	432261
UP000111493	10255
UP000111607	742923
UP000111976	195060
UP000112020	1692252
UP000112030	1795998
UP000112218	862909
UP000112478	1552409
UP000112673	1618257
UP000112894	995022
UP000113129	1692107
UP000113176	1618233
UP000113296	2065055
UP000113390	2038728
UP000113480	1552661
UP000113604	2035998
UP000113864	1504569
UP000113968	50290
UP000114294	10942
UP000114391	687373
UP000114428	687375
UP000114496	1634488
UP000114561	40058
UP000114748	1802946
UP000114860	500654
UP000114976	1654930
UP000115090	1692253
UP000115125	307164
UP000115299	10521
UP000115416	742917
UP000115425	28344
UP000115631	1673633
UP000115668	1985399
UP000115720	1272961
UP000115749	413259
UP000116078	159151
UP000116093	2065050
UP000116133	1221391
UP000116215	1277649
UP000116231	943083
UP000116555	50292
UP000116944	2848418
UP000116972	1572239
UP000117069	400121
UP000117147	1618240
UP000117502	1807808
UP000117503	1788447
UP000117676	118655
UP000117716	1972683
UP000117936	1985397
UP000118000	687379
UP000118161	1289939
UP000118164	1608323
UP000118240	1236392
UP000118285	10527
UP000118400	1788444
UP000118514	75888
UP000118530	1692249
UP000119000	644609
UP000119142	1391029
UP000119412	746830
UP000119470	318279
UP000119730	40057
UP000119949	742921
UP000120055	52275
UP000120119	1985413
UP000120250	1379717
UP000120459	1514665
UP000121022	1788441
UP000121220	1272943
UP000121340	1985387
UP000121369	204269
UP000121539	1504288
UP000121557	1506569
UP000121784	39444
UP000121920	3123084
UP000121975	1391038
UP000122426	1823757
UP000122874	175567
UP000123326	1105383
UP000123475	1348439
UP000123602	201490
UP000123729	1415627
UP000123759	3052549
UP000123778	1234880
UP000123930	1072162
UP000124141	35316
UP000124769	192199
UP000124824	590647
UP000124852	2849477
UP000125052	1546177
UP000125071	209854
UP000125118	1525173
UP000125377	1795990
UP000125413	694015
UP000125481	490111
UP000125522	273352
UP000125623	1788454
UP000125737	1985395
UP000125865	1623684
UP000125898	1692255
UP000125922	28876
UP000126444	1707330
UP000126493	1611837
UP000126644	1699094
UP000127069	10353
UP000127353	1399914
UP000127453	2169894
UP000127637	1261657
UP000127963	1985427
UP000128123	1985390
UP000128164	2065051
UP000128218	45370
UP000128286	1391026
UP000128324	563775
UP000128839	1221637
UP000129190	1618249
UP000129398	1788439
UP000129765	38416
UP000130164	490110
UP000130271	1618247
UP000130322	348296
UP000130460	33748
UP000130855	685443
UP000131018	1561705
UP000131023	1634476
UP000131097	1618239
UP000131223	1985391
UP000131472	1885928
UP000131738	1795994
UP000131827	1474807
UP000132218	1788446
UP000132362	318835
UP000132454	46221
UP000132615	696069
UP000132617	348823
UP000132721	1159904
UP000132920	93465
UP000133082	1788445
UP000133488	687374
UP000133496	874272
UP000133543	1128073
UP000133552	1272949
UP000133659	36353
UP000133700	1985403
UP000133898	1453408
UP000134187	660955
