Q8W489	copy_number:445.8245984
O65238	copy_number:446.9316692
Q9ZQ85	copy_number:447.5024305
Q9LMP6	copy_number:447.8726889
Q9LJ68	copy_number:448.2089262
P0C5K4	copy_number:449.2907315
A0A1P8ASY1	copy_number:449.4914648
Q9LUG9	copy_number:449.9783599
Q9LIK3	copy_number:450.6047036
Q8GYP6	copy_number:450.8399139
Q9SAC4	copy_number:452.7787045
Q9FFX1	copy_number:452.8713756
O49711	copy_number:452.9922873
O49421	copy_number:453.6783548
Q4PSN6	copy_number:453.995038
Q9LYM2	copy_number:455.6479758
Q9C6S6	copy_number:455.8550767
Q6EWX1	copy_number:456.7485373
Q8RWY4	copy_number:457.3256615
Q9S840	copy_number:458.021507
Q27IK7	copy_number:458.8499044
Q9LJR3	copy_number:459.6680131
Q9M7Q2	copy_number:461.6469031
F4JTF6	copy_number:461.8475682
Q9LUN5	copy_number:462.0941679
Q9SRE5	copy_number:462.269334
Q9FZ29	copy_number:463.6614348
Q9S6Z8	copy_number:463.9801769
Q9SSR4	copy_number:466.0637422
Q9FH09	copy_number:466.4162024
Q9T0E4	copy_number:466.6930747
Q9SIV3	copy_number:466.7133713
Q3EBQ3	copy_number:466.7504171
Q9FXA4	copy_number:466.9651959
Q710E8	copy_number:467.1196745
Q7XJE5	copy_number:468.5145942
Q9FKZ7	copy_number:469.276738
Q9FIH4	copy_number:469.3239412
Q38898	copy_number:470.1242468
Q9SG02	copy_number:470.2394368
Q9FIF5	copy_number:471.327507
Q9M2U3	copy_number:472.0614569
Q9LU43	copy_number:473.7912954
Q9SZL8	copy_number:474.4028836
Q9FGD7	copy_number:475.2342986
Q9SXL4	copy_number:475.3751692
F4KH86	copy_number:475.9187326
F4I6M4	copy_number:477.2494876
Q3EBC2	copy_number:477.5356561
O48809	copy_number:477.997221
F4J1Q9	copy_number:480.7617642
Q9SA60	copy_number:481.0241302
Q9M1K2	copy_number:481.0268254
Q9SY02	copy_number:482.1149062
O22759	copy_number:482.1744765
Q9LUS6	copy_number:483.2514397
Q0WSZ8	copy_number:484.0175679
P0DKG2	copy_number:486.0651642
Q9LUP5	copy_number:486.1235126
O22921	copy_number:486.3184758
Q9SVZ9	copy_number:487.0026325
O49316	copy_number:487.9825527
Q9SGQ6	copy_number:489.1363624
Q9FZI2	copy_number:489.8972363
Q8VZ17	copy_number:490.71545
Q9ZTX9	copy_number:491.7971396
F4JN26	copy_number:491.945747
Q9ZWA1	copy_number:492.1100522
Q9SUR8	copy_number:492.2838765
O49725	copy_number:493.6618714
Q84XV2	copy_number:494.0596019
Q9LPL3	copy_number:495.0179165
O81791	copy_number:495.0224833
O23038	copy_number:495.1115539
Q9LYN8	copy_number:496.0678427
Q9SV26	copy_number:497.2324102
Q9SNB6	copy_number:497.3937345
Q9C955	copy_number:497.5966907
Q9SF37	copy_number:499.8366974
Q9LMH6	copy_number:499.9100427
Q9C6F7	copy_number:500.4182294
F4IQL7	copy_number:501.0280155
F4INW9	copy_number:501.1286209
Q42575	copy_number:501.3393213
Q0WPQ2	copy_number:501.3978806
Q9LVB0	copy_number:501.4271654
F4KHH8	copy_number:501.9775743
Q9C9F0	copy_number:502.142776
O82226	copy_number:502.4090107
Q9FW03	copy_number:503.0879211
Q9LMT9	copy_number:503.7580273
Q9ZQX8	copy_number:504.184635
Q9C565	copy_number:506.8720289
Q9SQU1	copy_number:507.2769515
Q9SHY1	copy_number:507.4244656
Q9FIX3	copy_number:509.3669089
O80899	copy_number:509.4406595
O82500	copy_number:510.6879754
O81072	copy_number:511.2122345
Q84WQ5	copy_number:511.5046322
Q8GXQ7	copy_number:512.6861478
P16128	copy_number:512.8429521
Q9SHI4	copy_number:513.228019
Q9SJW6	copy_number:513.2353826
Q9SLH9	copy_number:513.5571326
Q9SN11	copy_number:514.2388042
Q9SYJ8	copy_number:515.4552812
Q94B08	copy_number:515.458995
Q9SAB5	copy_number:516.5233419
Q9SZL9	copy_number:516.787005
Q9FFY6	copy_number:517.2428309
Q9MAP2	copy_number:518.2144486
Q9SJ04	copy_number:519.7655756
Q8LAW2	copy_number:519.9657881
O49318	copy_number:520.4297652
Q700D0	copy_number:520.9539947
Q9LHD2	copy_number:521.2424549
F4KEL0	copy_number:521.2646086
O04514	copy_number:521.3659071
Q9SVN2	copy_number:521.5160277
Q9C8H0	copy_number:521.7011054
Q0WSK8	copy_number:521.8710869
Q9LS10	copy_number:524.1972098
F4J4P8	copy_number:524.9819074
Q8VZF6	copy_number:525.2529934
Q84WU4	copy_number:525.2613489
Q9C8R8	copy_number:526.4653764
Q2V3R1	copy_number:526.6798315
Q9FLR5	copy_number:526.9397371
O82391	copy_number:530.0931321
Q9FK93	copy_number:530.9750547
Q8VYC2	copy_number:532.9263133
F4JP36	copy_number:533.2122915
Q93V43	copy_number:534.1910389
Q5UBY2	copy_number:534.488359
Q9LW63	copy_number:536.1834624
Q9LVN0	copy_number:536.3234754
Q9FFA7	copy_number:536.5520748
Q9LY17	copy_number:537.778163
Q9LV20	copy_number:537.8105041
Q9SU36	copy_number:539.5064361
Q9LUU5	copy_number:540.3043477
Q4V389	copy_number:541.2110507
Q8L7H4	copy_number:541.4684237
Q9SV05	copy_number:542.0865711
F4I700	copy_number:542.3852089
Q5EAE9	copy_number:542.3961744
O22397	copy_number:542.4976258
Q1PEY8	copy_number:543.3436153
Q9FHF9	copy_number:544.2136352
Q9M3G7	copy_number:544.2907329
F4JBP3	copy_number:544.7599373
Q9M1P7	copy_number:546.03776
O23447	copy_number:546.3240803
Q9SAH3	copy_number:546.4798756
Q9LKR4	copy_number:546.6531631
Q6A333	copy_number:546.6891334
Q9FHQ1	copy_number:547.3788218
Q9LG26	copy_number:550.2648484
Q9FNG8	copy_number:550.7583538
Q9SS81	copy_number:551.031963
Q9LDX3	copy_number:551.1246416
Q9FL92	copy_number:551.3922404
Q8GVE8	copy_number:552.2884848
Q9LSP1	copy_number:552.9976069
Q8H0W9	copy_number:554.0010691
Q93YS2	copy_number:555.6466178
Q9SYB1	copy_number:555.7929035
O82804	copy_number:555.9944724
Q9LYX1	copy_number:556.6188223
Q9LYY7	copy_number:557.309689
Q9FMS5	copy_number:557.4558866
Q9LMT1	copy_number:557.6861948
Q9SKT1	copy_number:558.967217
Q66GN2	copy_number:559.4086553
Q9LZK4	copy_number:560.1956458
Q9SH31	copy_number:560.6697827
Q9LMT8	copy_number:560.9284081
Q8L999	copy_number:561.2811969
Q9LHN5	copy_number:561.7417361
Q93YW7	copy_number:564.1877767
O80742	copy_number:564.7162411
Q9M358	copy_number:564.9295399
Q9SZR3	copy_number:565.8870299
Q56XZ1	copy_number:566.2209394
F4JYC8	copy_number:567.1761709
Q9T0F2	copy_number:567.7877463
Q9SS80	copy_number:569.0062637
Q6NMB7	copy_number:569.0854711
Q93ZH2	copy_number:570.5528998
Q9XEC6	copy_number:572.5154298
Q9C6A6	copy_number:574.6381414
Q9ZP55	copy_number:575.4364543
Q94A73	copy_number:575.8865291
Q9C9C8	copy_number:576.107578
Q9FLJ4	copy_number:576.6516474
Q9LSQ2	copy_number:578.0680908
O65571	copy_number:578.4271867
Q3E8Y7	copy_number:578.5378875
Q9M302	copy_number:578.6166511
Q9ZQA4	copy_number:579.0326604
Q5W9E7	copy_number:579.6440994
Q93YR9	copy_number:580.2497717
C0LGH8	copy_number:580.7922667
C0LGX3	copy_number:581.6059437
P0C7P8	copy_number:582.3942468
Q9LK91	copy_number:582.7112741
Q8LBC0	copy_number:583.8366951
Q8S905	copy_number:584.42862
Q9LZY0	copy_number:584.4519612
Q9C637	copy_number:584.5225267
Q9SR07	copy_number:584.5267718
O04716	copy_number:584.8361655
Q9LFS2	copy_number:585.3078539
Q9T0F1	copy_number:586.775216
Q8H1Q7	copy_number:586.8506225
O65479	copy_number:587.7529912
C8KI33	copy_number:589.5984709
Q9C8U7	copy_number:589.6997172
Q9LUC2	copy_number:590.3655681
Q9SMY8	copy_number:591.279873
Q9SUP6	copy_number:591.7156568
Q84JQ4	copy_number:591.9090309
Q9STJ8	copy_number:594.2122713
Q9ZVN6	copy_number:594.7770806
Q94A21	copy_number:595.5990381
O64641	copy_number:595.8983449
Q9LQF0	copy_number:597.0255056
Q9SI53	copy_number:598.6967077
Q94AK4	copy_number:599.6694109
Q94AI1	copy_number:600.0843757
Q0WKV3	copy_number:600.5528433
F4J1U4	copy_number:601.7613821
Q9SBI0	copy_number:601.7736144
O82368	copy_number:602.5228391
Q9SA69	copy_number:603.2383249
Q9SXD8	copy_number:605.7683577
Q9SYG9	copy_number:606.2902717
Q9FG16	copy_number:608.9246186
Q84TH9	copy_number:608.927498
Q6R0H1	copy_number:609.416513
Q6NPS8	copy_number:609.6415449
Q94LW6	copy_number:610.0921075
Q9LV01	copy_number:610.4562205
Q6R0E3	copy_number:611.6072283
Q8S8N4	copy_number:611.7806898
O82189	copy_number:612.1788319
Q9LXE8	copy_number:612.4728995
Q8H0Y8	copy_number:615.0899675
Q570Q8	copy_number:615.1093583
F4I241	copy_number:617.4043114
Q9ZV88	copy_number:618.5787232
Q9FIE3	copy_number:619.0024275
Q8GYF5	copy_number:619.6887196
Q9CAY1	copy_number:620.9751359
O64592	copy_number:622.1054776
Q9LM18	copy_number:622.1379366
F4I837	copy_number:623.2299882
O65567	copy_number:623.2688994
Q9M622	copy_number:623.3938098
Q9FJV2	copy_number:624.1642913
Q9C6H2	copy_number:624.1933348
F4ISL7	copy_number:625.1103729
Q9LQE8	copy_number:625.5787594
Q3EAF8	copy_number:626.5960304
O81210	copy_number:628.0754628
Q9LFM6	copy_number:628.152973
C0LGU5	copy_number:629.3575997
Q9SJL7	copy_number:630.2067369
Q9STT6	copy_number:631.5381687
O22951	copy_number:632.8733721
Q9CA66	copy_number:633.3552042
Q9SIC9	copy_number:633.6001363
Q9FKQ2	copy_number:633.6506421
Q9C5W9	copy_number:634.4157589
Q9SXB0	copy_number:634.5179766
F4I111	copy_number:634.9422037
Q0WVV6	copy_number:635.0849916
Q0WQN9	copy_number:635.4629378
Q9LR69	copy_number:636.8686603
O49459	copy_number:636.9433155
Q93YX4	copy_number:637.8386485
Q4V3B3	copy_number:637.8395963
Q9SHT2	copy_number:637.9694677
Q8H111	copy_number:638.2363283
Q9ZPY6	copy_number:638.5236742
Q9LSJ5	copy_number:639.2439654
F4J9A8	copy_number:639.8790719
Q9LJR6	copy_number:640.1414868
Q8VY10	copy_number:640.7903356
Q9LK86	copy_number:643.0095695
Q683C9	copy_number:644.3357366
Q9M2D9	copy_number:644.7383339
Q8L6Y3	copy_number:645.1559789
Q9SHJ5	copy_number:645.3674301
Q9FNB3	copy_number:645.5052389
Q9C5D2	copy_number:646.2622947
Q9ZSY8	copy_number:646.5660041
Q9M322	copy_number:646.61665
Q9LYW0	copy_number:647.0347823
O49471	copy_number:647.9122755
Q9FNL8	copy_number:648.4187574
Q9LTF4	copy_number:648.9245604
Q708Y0	copy_number:649.7968619
Q9SRL2	copy_number:650.3071167
F4J1G1	copy_number:650.9290358
Q9LPF0	copy_number:651.3241045
Q5M757	copy_number:653.0561966
F4IXE7	copy_number:653.7210506
Q9FG90	copy_number:653.8805448
Q9STT7	copy_number:654.3922477
Q9STY3	copy_number:655.4884524
Q8LDR0	copy_number:655.541507
Q84UV0	copy_number:656.3544148
O80494	copy_number:656.982262
Q9S789	copy_number:657.2216621
Q7Y0S0	copy_number:658.1083561
Q501G6	copy_number:658.1406446
F4JNA9	copy_number:658.2304637
Q8H2D5	copy_number:658.462694
Q9M9E2	copy_number:659.070296
O22227	copy_number:660.1913811
Q9LQ02	copy_number:660.3169039
Q683I9	copy_number:660.9476769
Q9ZUW3	copy_number:662.5418247
Q8W104	copy_number:662.765169
Q93VV0	copy_number:662.9156276
Q94A57	copy_number:666.4437564
Q9SYC9	copy_number:666.482042
Q8H1D3	copy_number:666.5389611
Q9FLY7	copy_number:666.7159901
Q84VG7	copy_number:666.8081652
Q5XPJ6	copy_number:667.4992538
Q9FG91	copy_number:668.8674979
O49329	copy_number:672.7840553
Q8H1E6	copy_number:673.1797132
Q9C866	copy_number:673.2409498
Q9ZWC8	copy_number:673.7534513
Q9FJQ5	copy_number:673.9893582
Q5G1T1	copy_number:674.2642624
Q84UU4	copy_number:674.7436749
Q9LKW9	copy_number:675.0025653
Q84JT7	copy_number:677.9802262
Q9SF12	copy_number:678.5675431
Q9LD83	copy_number:678.8358178
Q9LVT4	copy_number:679.201012
Q9FNN9	copy_number:681.4538208
Q8GWZ6	copy_number:681.920043
Q9SKC3	copy_number:682.2820573
F4IM84	copy_number:682.7280578
Q9SKB7	copy_number:682.9469306
Q9LMU1	copy_number:684.4295004
F4JDI6	copy_number:686.200868
F4K2K3	copy_number:686.8519729
P0DKI4	copy_number:686.8527055
Q9ZUA2	copy_number:686.9223178
C5H8J1	copy_number:690.2060151
Q681X4	copy_number:691.318702
Q9SRR2	copy_number:692.2730601
A0MEX7	copy_number:692.7400482
Q8GXA1	copy_number:693.6288395
Q9FLJ8	copy_number:694.6952562
Q8VZA1	copy_number:695.1790288
Q9FLU8	copy_number:695.8991834
Q8LGJ5	copy_number:696.3948027
Q9FIF7	copy_number:699.6296249
Q9C9K7	copy_number:701.0670666
Q9SMV7	copy_number:702.1564956
Q8GX69	copy_number:702.5656175
Q9LZ25	copy_number:703.4237143
Q8RXY6	copy_number:703.7196982
Q8L4M6	copy_number:704.444949
F4KFT6	copy_number:705.0049212
Q9SCR0	copy_number:706.2669573
Q38847	copy_number:707.6758258
Q9SFW5	copy_number:709.59319
O64771	copy_number:709.596709
P48785	copy_number:710.2471572
Q8S403	copy_number:711.1940383
Q9LVP0	copy_number:712.6053016
Q9FW44	copy_number:714.4135391
Q8GYT8	copy_number:714.4389053
Q8RXR6	copy_number:715.0303686
Q9SVD0	copy_number:715.8909459
F4IME2	copy_number:717.1036325
Q5BPT4	copy_number:717.4252318
O22252	copy_number:717.9219797
Q9LVU8	copy_number:717.9231805
F4I340	copy_number:719.3078622
Q9ZNR0	copy_number:720.6615971
O48786	copy_number:721.5640913
O64776	copy_number:722.7291584
Q94BM7	copy_number:722.8963096
Q0WKV8	copy_number:724.3927469
Q9FMA1	copy_number:725.2188396
Q9SUH6	copy_number:725.2935867
F4HV09	copy_number:726.8963844
Q9STK6	copy_number:728.1936143
Q9FJY9	copy_number:728.6695191
Q9LQQ9	copy_number:728.7016805
Q9FZD4	copy_number:728.7387934
