Q945S5	copy_number:432.6453696
Q8GXE6	copy_number:432.6588879
Q9SIV7	copy_number:432.9001785
Q9CA92	copy_number:433.4811633
A0A1P8AWY4	copy_number:433.5017384
F4HYE5	copy_number:434.0218698
Q9C9N8	copy_number:434.134827
O80593	copy_number:434.1673204
Q9CA56	copy_number:435.1280691
Q9FKH1	copy_number:435.2997164
Q8RY06	copy_number:435.5170068
Q8GYU5	copy_number:436.9507106
A1L4V1	copy_number:437.0014216
Q9STE7	copy_number:437.3897058
O22932	copy_number:437.8670993
A0A1P8AMI2	copy_number:438.6703051
Q9LFA8	copy_number:438.9129637
F4K5W6	copy_number:439.1446592
Q9FHN9	copy_number:439.1563403
Q9LDM4	copy_number:439.2408218
Q9SWA6	copy_number:439.7069524
F4J8G2	copy_number:439.7560526
Q9SY90	copy_number:440.0612603
F4IKW3	copy_number:440.1325514
Q9LJ42	copy_number:440.1659489
Q9CAX8	copy_number:440.2697842
Q9LXU6	copy_number:441.9032601
F4K493	copy_number:443.1050857
Q8RWF4	copy_number:443.3729785
A0A1P8BGU4	copy_number:443.3824431
A0A1P8AWE8	copy_number:444.3008961
Q689D6	copy_number:444.4978082
F4JNR2	copy_number:445.5987539
A0A1R7T387	copy_number:445.8245984
F4IIV6	copy_number:446.0778658
O65238	copy_number:446.9316692
Q9T0K4	copy_number:447.1276604
Q9ZQ85	copy_number:447.5024305
A0A1P8AVK4	copy_number:447.8726889
Q9LJ68	copy_number:448.2089262
Q9ZQI9	copy_number:448.6642812
A0A1P8BDL7	copy_number:449.2907315
F4HXR5	copy_number:449.4914648
Q9LUG9	copy_number:449.9783599
Q9LIK3	copy_number:450.6047036
F4IDY2	copy_number:450.8399139
Q9T023	copy_number:451.3998204
F4KD45	copy_number:451.6249328
A0A1P8AQ68	copy_number:452.7787045
Q9FFX1	copy_number:452.8713756
A0A1P8B7C5	copy_number:452.9922873
O82271	copy_number:453.0654391
O49421	copy_number:453.6783548
F4IK98	copy_number:453.7560452
Q4PSN6	copy_number:453.995038
F4K4M9	copy_number:454.5320087
Q9LYM2	copy_number:455.6479758
F4IAZ1	copy_number:455.8550767
F4IWM0	copy_number:455.9964778
Q6EWX1	copy_number:456.7485373
O80702	copy_number:457.1298794
A0A1P8AWY3	copy_number:457.3256615
Q94CE6	copy_number:457.4192286
F4J1S7	copy_number:457.4816279
Q9S840	copy_number:458.021507
A0A1I9LN38	copy_number:458.8499044
A0A1I9LSW4	copy_number:459.6680131
Q8VZI4	copy_number:459.8566156
