Q9Y134	copy_number:11059
Q7KN62	copy_number:8353.333333
Q7JQT9	copy_number:7907.666667
Q9VVH5	copy_number:14861
Q9W485	copy_number:5507
A0A0B4LHL7	copy_number:13884
Q9V3H8	copy_number:4418
Q9VUR1	copy_number:3586.333333
Q9VBB3	copy_number:6290
Q9XZT1	copy_number:6430.666667
Q9VGH0	copy_number:10347.33333
M9NEV0	copy_number:9156.333333
Q9VN44	copy_number:6082.666667
Q9N6D7	copy_number:6849
Q9VIF0	copy_number:14137.66667
Q9Y149	copy_number:6628
M9PFY2	copy_number:6378
A0A0B4LGT9	copy_number:6559.666667
Q9VIW7	copy_number:6131.333333
Q9V3D6	copy_number:6974
Q9W141	copy_number:13304
A0A0B4K726	copy_number:4883.333333
O76863	copy_number:7615.666667
Q9VGF9	copy_number:138
P49963	copy_number:9905
Q6NQY9	copy_number:8653
Q9VK18	copy_number:8198.666667
Q7K2L1	copy_number:1405.666667
Q7JRE4	copy_number:8817.666667
A0A0B4LFB8	copy_number:6645.333333
Q8IMF5	copy_number:8150
Q9VLR5	copy_number:5779.666667
X2JDI1	copy_number:7659.333333
O44226	copy_number:5750
Q9VDK7	copy_number:7951.333333
P45889	copy_number:4007.333333
O16810	copy_number:369.3333333
E2QD00	copy_number:12823
Q9VND7	copy_number:8388.666667
P17886	copy_number:7026
Q0E965	copy_number:5767.666667
Q9W5E4	copy_number:11444.66667
Q9VL96	copy_number:15317.66667
Q9VYW4	copy_number:7686.333333
Q9VBQ1	copy_number:5106.333333
Q9VKI2	copy_number:4852.333333
Q9VW52	copy_number:7135
Q9VAH9	copy_number:5781
Q9VS37	copy_number:4798.333333
Q9Y0I1	copy_number:9319
A0A0B4K7Y7	copy_number:5350
Q9VRG7	copy_number:9293
P20028	copy_number:9032
Q9W3D1	copy_number:1362
P41900	copy_number:4709.666667
Q9VKK1	copy_number:6271.333333
A1Z9G2	copy_number:6812.666667
Q9VPU8	copy_number:11419.66667
Q9VXW2	copy_number:6093
Q7PLI2	copy_number:5616
Q9V3W2	copy_number:10391.33333
Q9VJH2	copy_number:9081
Q9VGW6	copy_number:3900.333333
Q9VE98	copy_number:7782
E1JIH5	copy_number:4489
Q7K0K1	copy_number:6637.333333
Q9VL25	copy_number:4213
Q9GYV9	copy_number:6316.666667
Q9VW10	copy_number:9367.333333
Q8SWR8	copy_number:5581.333333
Q9VIG1	copy_number:8597
Q7YZ99	copy_number:5245.666667
X2JA05	copy_number:6033.333333
Q9VVS4	copy_number:4108.333333
B4F5U4	copy_number:13632
Q8SYP9	copy_number:504.6666667
Q9VLK1	copy_number:10844
Q9V3C0	copy_number:8509.333333
Q9VPT8	copy_number:6141.666667
Q8MKJ6	copy_number:6316.666667
Q9VVG5	copy_number:12613.66667
Q9VE94	copy_number:8776
X2JB87	copy_number:14656.66667
A1ZBU8	copy_number:7858.333333
A0A0B4LGC6	copy_number:4832.666667
Q7K2N0	copy_number:3912.666667
Q9W0M4	copy_number:4876.333333
Q8SWS3	copy_number:21175.33333
Q9W1F7	copy_number:4709.333333
Q7K159	copy_number:10334.66667
Q7K7A9	copy_number:4245.666667
Q9V4W1	copy_number:5567
Q9VT32	copy_number:12109.66667
P07182	copy_number:5407.333333
Q95RB1	copy_number:5591
A0A0B4K6R3	copy_number:5800.333333
Q9U1H9	copy_number:6374
A0A0B4KHT9	copy_number:32
M9PI76	copy_number:7240
A4V2A4	copy_number:7788.333333
Q6NN84	copy_number:6114.333333
P49846	copy_number:7610.666667
A1Z9L3	copy_number:4895.333333
Q9VHG5	copy_number:8548.333333
M9PGK3	copy_number:6497.666667
E0R905	copy_number:16109.33333
M9PD27	copy_number:6721.666667
Q9V4P1	copy_number:339
Q9VEC1	copy_number:6275
Q24492	copy_number:2138
Q9W0Q2	copy_number:9221
Q9VWK5	copy_number:6818.666667
Q9W526	copy_number:4808.666667
A0A0B4KI43	copy_number:12056.66667
Q9VH84	copy_number:10469
Q9XYP8	copy_number:1618.666667
Q7JVP2	copy_number:6033
E1NZB4	copy_number:19991.66667
